,ASV_195,ASV_222,ASV_143,ASV_94,ASV_125,ASV_45,ASV_44,ASV_141,ASV_181,ASV_112,ASV_59,ASV_134,ASV_155,ASV_20,ASV_178,ASV_99,ASV_144,ASV_135,ASV_128,ASV_89,ASV_180,ASV_137,ASV_171,ASV_1,ASV_19,ASV_82,ASV_113,ASV_43,ASV_119,ASV_163,ASV_177,ASV_120,ASV_72,ASV_161,ASV_157,ASV_101,ASV_192,ASV_114,ASV_218,ASV_102,ASV_27,ASV_76
ASV_59,0.8335899999999999,1.44498,1.2002800000000002,1.15293,1.2503600000000001,1.54865,1.55676,1.2028500000000002,1.2625000000000002,1.00414,0.0,1.24369,1.0062799999999998,2.0391500000000002,1.01722,1.2244100000000002,1.19551,0.97366,1.25036,1.17552,1.2058,0.60576,0.7686999999999999,0.55587,1.9688,1.17295,0.9379299999999999,1.4472900000000002,1.5748400000000002,0.93923,1.03511,1.5512900000000003,1.14009,1.11927,1.01073,1.16631,0.79441,0.93495,1.3305700000000003,1.19404,1.7525000000000002,1.12453
ASV_134,1.00312,1.23201,0.87353,1.20484,0.9236099999999999,1.46608,1.4741900000000003,0.8761,0.93575,1.05605,1.24369,0.0,0.9473900000000001,1.9565800000000002,0.69047,1.2763200000000001,0.8687600000000001,0.54629,0.9236099999999999,1.22743,0.87905,1.08165,0.93823,1.11144,1.88623,1.22486,0.98984,1.3647200000000002,1.4922700000000002,0.61248,0.70836,1.4687200000000002,1.1920000000000002,1.0603799999999999,0.95184,1.21822,0.96394,0.9868600000000001,1.1176000000000001,1.2459500000000001,1.6699300000000001,1.1764400000000002
ASV_155,0.7657100000000001,1.14868,0.9039799999999999,0.96743,0.95406,1.25235,1.26046,0.9065500000000001,0.9662000000000001,0.81864,1.0062799999999998,0.9473900000000001,0.0,1.7428500000000002,0.7209199999999999,1.03891,0.8992100000000001,0.6773599999999999,0.95406,0.99002,0.9095,0.8442400000000001,0.70082,0.8740300000000001,1.6724999999999999,0.98745,0.75243,1.1509900000000002,1.27854,0.6429299999999999,0.7388099999999999,1.2549900000000003,0.95459,0.32507,0.033049999999999996,0.9808100000000001,0.7265299999999999,0.7494500000000001,1.03427,1.00854,1.4562,0.93903
ASV_20,1.79858,2.15787,1.9131699999999998,2.0003,1.9632500000000002,2.0366999999999997,2.0448099999999996,1.9157399999999998,1.9753900000000002,1.85151,2.0391500000000002,1.9565800000000002,1.7428500000000002,0.0,1.73011,2.07178,1.9084,1.68655,1.9632500000000002,2.02289,1.91869,1.87711,1.7336900000000002,1.9069,0.20763,2.02032,1.7853,1.93534,2.24809,1.65212,1.7480000000000002,2.22454,1.98746,1.8558400000000002,1.7473,2.01368,1.7594,1.7823200000000001,2.04346,2.04141,0.48941,1.9718999999999998
ASV_178,0.77665,1.0055399999999999,0.26862,0.9783699999999999,0.3369,1.23961,1.24772,0.27119000000000004,0.33084,0.82958,1.01722,0.69047,0.7209199999999999,1.73011,0.0,1.0498499999999997,0.26385000000000003,0.42044000000000004,0.3369,1.0009599999999998,0.27414,0.8551799999999999,0.7117600000000001,0.8849699999999999,1.6597600000000001,0.99839,0.76337,1.1382499999999998,1.2657999999999998,0.30985,0.028390000000000002,1.24225,0.9655299999999999,0.83391,0.72537,0.99175,0.73747,0.76039,0.89113,1.0194799999999997,1.4434600000000002,0.9499699999999999
ASV_99,0.9838399999999999,1.4776099999999999,1.23291,0.22792,1.2829899999999999,1.5812800000000002,1.58939,1.23548,1.29513,0.61083,1.2244100000000002,1.2763200000000001,1.03891,2.07178,1.0498499999999997,0.0,1.2281400000000002,1.0062900000000001,1.2829899999999999,0.13313,1.2384300000000001,1.06237,0.91895,1.0921600000000002,2.00143,0.29202,0.5446200000000001,1.4799200000000001,1.60747,0.9718600000000001,1.0677399999999997,1.5839199999999998,0.31214000000000003,1.1518999999999997,1.0433599999999998,0.2413,0.9446599999999999,0.5416400000000001,1.3632,0.31311,1.7851299999999999,0.2436
ASV_144,0.95494,1.18383,0.00479,1.15666,0.51519,1.4179000000000002,1.42601,0.01134,0.24442999999999998,1.00787,1.19551,0.8687600000000001,0.8992100000000001,1.9084,0.26385000000000003,1.2281400000000002,0.0,0.59873,0.5151899999999999,1.1792500000000001,0.17879,1.0334699999999999,0.8900499999999999,1.0632599999999999,1.8380499999999997,1.1766800000000002,0.94166,1.31654,1.4440900000000003,0.4881400000000001,0.28174000000000005,1.4205400000000001,1.1438199999999998,1.0122,0.90366,1.1700400000000002,0.91576,0.9386800000000001,1.06942,1.1977699999999998,1.6217499999999998,1.12826
ASV_135,0.73309,0.9619800000000001,0.6035,0.9348099999999999,0.6535799999999999,1.19605,1.2041600000000001,0.60607,0.66572,0.7860199999999999,0.97366,0.54629,0.6773599999999999,1.68655,0.42044000000000004,1.0062900000000001,0.59873,0.0,0.6535799999999999,0.9573999999999999,0.6090199999999999,0.8116200000000001,0.6682,0.8414100000000001,1.6161999999999999,0.95483,0.71981,1.09469,1.2222400000000002,0.34245000000000003,0.43833,1.1986900000000003,0.9219700000000001,0.79035,0.6818099999999999,0.94819,0.6939099999999999,0.71683,0.8475699999999999,0.97592,1.3999,0.90641
ASV_128,1.00979,1.23868,0.51996,1.21151,0.0,1.4727500000000002,1.48086,0.5225299999999999,0.5821799999999999,1.0627199999999999,1.25036,0.9236099999999999,0.95406,1.9632500000000002,0.3369,1.2829899999999999,0.5151899999999999,0.6535799999999999,0.0,1.2340999999999998,0.52548,1.08832,0.9449,1.11811,1.8928999999999998,1.2315299999999998,0.9965100000000001,1.37139,1.49894,0.5429900000000001,0.35479,1.4753900000000002,1.19867,1.0670499999999998,0.9585100000000001,1.2248899999999998,0.9706100000000001,0.9935300000000001,1.12427,1.2526199999999998,1.6765999999999999,1.18311
ASV_89,0.93495,1.42872,1.1840199999999999,0.17903000000000002,1.2340999999999998,1.5323900000000001,1.5405,1.1865899999999998,1.2462399999999998,0.56194,1.17552,1.22743,0.99002,2.02289,1.0009599999999998,0.13313,1.1792500000000001,0.9573999999999999,1.2340999999999998,0.0,1.18954,1.01348,0.87006,1.0432700000000001,1.9525399999999997,0.24312999999999999,0.49573,1.43103,1.5585799999999999,0.92297,1.01885,1.5350300000000001,0.26325,1.10301,0.99447,0.19241,0.8957700000000001,0.49275,1.3143099999999999,0.26421999999999995,1.7362399999999998,0.19471
ASV_180,0.9652299999999999,1.1941199999999998,0.18356,1.16695,0.52548,1.42819,1.4363,0.18613000000000002,0.25472,1.01816,1.2058,0.87905,0.9095,1.91869,0.27414,1.2384300000000001,0.17879,0.6090199999999999,0.52548,1.18954,0.0,1.0437599999999998,0.90034,1.0735499999999998,1.84834,1.18697,0.95195,1.32683,1.4543800000000002,0.49843000000000004,0.29203000000000007,1.43083,1.1541099999999997,1.02249,0.9139499999999999,1.18033,0.9260499999999999,0.94897,1.07971,1.2080599999999997,1.6320400000000002,1.13855
