cluster index	RTMean	Balance Score	BasePeak
642	26.92	100	305.0
643	27.02	100	130.0
644	27.17	60	69.0
645	27.17	40	135.0
646	27.24	34	80.0
647	27.24	30	233.0
648	27.24	28	70.0
649	27.24	8	310.0
650	27.28	51	145.0
651	27.28	49	116.0
652	27.35	53	335.0
653	27.35	47	74.0
654	27.38	32	100.0
655	27.38	29	241.0
656	27.38	27	158.0
657	27.38	12	158.0
658	27.41	59	204.0
659	27.41	41	176.0
660	27.49	100	133.0
661	27.63	74	239.0
662	27.63	26	78.0
663	27.72	79	127.0
664	27.72	21	175.0
665	27.78	31	149.0
666	27.78	28	205.0
667	27.78	25	72.0
668	27.78	15	72.0
669	27.86	83	134.0
670	27.86	17	112.0
671	27.93	100	128.0
672	28.05	100	74.0
673	28.14	100	215.0
674	28.25	67	193.0
675	28.25	33	339.0
676	28.36	100	129.0
677	28.53	59	217.0
678	28.53	21	100.0
679	28.53	11	451.0
680	28.53	9	116.0
681	28.64	75	118.0
682	28.64	25	161.0
683	28.74	100	118.0
684	28.84	100	204.0
685	28.95	100	307.0
686	29.01	30	115.0
687	29.01	29	373.0
688	29.01	19	74.0
689	29.01	15	207.0
690	29.01	7	117.0
691	29.09	63	319.0
692	29.09	37	84.0
693	29.16	100	115.0
694	29.32	100	98.0
695	29.40	100	73.0
696	29.52	100	339.0
697	29.61	100	105.0
698	29.67	69	211.0
699	29.67	31	73.0
700	29.81	100	68.0
701	29.95	80	285.0
702	29.95	20	68.0
703	30.09	53	357.0
704	30.09	29	131.0
705	30.09	18	161.0
706	30.17	100	129.0
707	30.23	64	245.0
708	30.23	36	60.0
709	30.36	80	147.0
710	30.36	20	98.0
711	30.46	100	307.0
712	30.55	81	149.0
713	30.55	19	69.0
714	30.64	68	218.0
715	30.64	32	125.0
716	30.70	44	76.0
717	30.70	31	80.0
718	30.70	17	95.0
719	30.70	8	217.0
720	30.76	64	179.0
721	30.76	31	275.0
722	30.76	6	103.0
723	30.84	87	132.0
724	30.84	13	347.0
725	30.96	76	199.0
726	30.96	24	165.0
727	31.05	59	96.0
728	31.05	41	83.0
729	31.10	47	238.0
730	31.10	23	84.0
731	31.10	15	96.0
732	31.10	15	116.0
733	31.17	100	80.0
734	31.25	60	74.0
735	31.25	40	244.0
736	31.41	100	241.0
737	31.49	51	71.0
738	31.49	49	72.0
739	31.54	63	101.0
740	31.54	18	175.0
741	31.54	18	285.0
742	31.59	56	205.0
743	31.59	25	347.0
744	31.59	19	144.0
745	31.64	100	189.0
746	31.69	100	172.0
747	31.78	65	207.0
748	31.78	20	205.0
749	31.78	15	207.0
750	31.84	55	293.0
751	31.84	33	406.0
752	31.84	12	208.0
753	31.92	75	61.0
754	31.92	25	116.0
755	31.99	36	80.0
756	31.99	31	205.0
757	31.99	21	193.0
758	31.99	12	117.0
759	32.12	100	148.0
760	32.22	47	291.0
761	32.22	32	67.0
762	32.22	21	131.0
763	32.29	37	60.0
