,ASV_2396,ASV_10,ASV_9,ASV_153,ASV_6,ASV_4,ASV_31,ASV_161,ASV_89,ASV_23,ASV_30,ASV_45,ASV_46,ASV_155,ASV_102,ASV_159,ASV_94,ASV_194,ASV_218,ASV_28,ASV_166,ASV_44,ASV_126,ASV_122,ASV_175,ASV_57,ASV_24,ASV_82,ASV_135,ASV_146,ASV_76,ASV_130,ASV_195,ASV_120,ASV_183,ASV_149,ASV_34,ASV_1,ASV_103,ASV_134,ASV_33,ASV_144,ASV_114,ASV_14,ASV_220,ASV_177,ASV_145,ASV_154,ASV_41,ASV_112,ASV_178,ASV_29,ASV_26,ASV_137,ASV_119,ASV_157,ASV_128,ASV_47,ASV_113,ASV_72,ASV_53,ASV_140,ASV_43,ASV_208,ASV_101,ASV_180,ASV_27,ASV_141,ASV_217,ASV_216,ASV_171,ASV_35,ASV_97,ASV_192,ASV_143,ASV_432,ASV_59,ASV_55,ASV_123,ASV_856,ASV_51,ASV_49,ASV_162,ASV_129,ASV_160,ASV_125,ASV_181,ASV_168,ASV_156,ASV_52,ASV_54,ASV_12,ASV_19,ASV_50,ASV_163,ASV_189,ASV_184,ASV_42,ASV_196,ASV_139,ASV_1155,ASV_131,ASV_69,ASV_174,ASV_179,ASV_74,ASV_121,ASV_18,ASV_222,ASV_124,ASV_56,ASV_11,ASV_20,ASV_521
149-1,0.3679632161053809,0.0,0.0003373040529744892,0.07827229313497489,0.0011539349180706207,0.0,0.0,0.0003017983631877008,0.00046157396722824835,0.0,0.0,0.21869729624172274,0.1846473397361927,0.04811020966109819,0.00021303413872073,0.01741554084041968,0.0,0.0,0.007491700545012339,0.0,0.028049494931562783,0.012196204441761792,0.0007811251753093433,0.0,0.0007278666406291608,0.0003017983631877008,0.0,0.0,0.0,0.0005148325019084308,0.0,0.00046157396722824835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001597756040405475,0.0,0.0006035967263754016,0.0004083154325480658,0.0012604519874309858,0.0,0.0,0.0,0.0,0.0,0.0006213495712687958,0.0,0.0,0.0,0.0,0.00012426991425375916,0.01640362868149621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004029895790800476,0.0,0.0,0.0018818015586997815,0.0012959576772177742,0.0,0.0,0.0,0.0,0.0,0.0005503381916952192,0.0,0.0026274210442223367,0.0,0.0,0.0,0.0,0.0012426991425375916,0.0,0.000532585346801825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001597756040405475,0.0,0.0,0.0,0.0,0.0,0.0
114-1,0.01026064541962286,0.0,0.5114306092571043,0.0,0.0,0.0,0.0,0.0012888371685623834,0.0,0.0,0.004830011136554175,0.0,0.030068696272382598,0.0,0.0,0.0,0.0,0.00017518175106673173,0.0,0.0,0.00047549332432398613,0.0,0.0,0.0007883178798002928,0.0,0.00021272069772388852,0.0002627726266000976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3450579976725853,0.02108437503910307,0.009697561219765507,0.0,0.0,0.027541073864134038,0.009797665077517925,0.0,0.0,0.0,0.0,0.0,0.0,0.010135515597432336,0.0,0.0,0.0,0.0,0.0005881101642954566,0.0,0.00042544139544777704,0.0,0.0,0.0,0.0,0.0,0.00833364615788881,0.0,0.0,0.0004129284132287248,0.0,0.0,0.004241900972258719,0.0,0.0,0.0,0.0,0.0,0.0,0.0008759087553336587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003628764843525157,0.0016517136529148992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150-1,0.13110477461627132,0.0,0.0,0.0,0.0019413941636837954,0.0,0.0,0.010697890756132582,0.0,0.0,0.0,0.00048534854092094885,0.0,0.030860078060223665,0.0,0.0,0.0,0.0005460171085360675,0.06392444741046331,0.0,0.0596574248215333,0.0,0.07282250399401403,0.0,0.513903213411798,0.0,0.0,0.0,0.0,0.00022245141458876824,0.0,0.0,0.0,0.00022245141458876824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006066856761511861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08317660620032762,0.012821290622661732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004590588282877308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006774656717021578,0.0,0.0,0.0,0.0,0.0,0.0,0.001314485631660903,0.0,0.0023256284252462134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011729256405589598,0.0,0.0,0.0,0.0,0.0,0.0,0.0005055713967926551,0.0,0.00032356569394729925,0.0,0.0
124-1,0.0,0.00035510763143209835,0.0,0.49542587550941036,0.0,0.0,0.0,0.00018600875932157533,0.0,0.00016909887211052303,0.0,0.039788964607606066,0.0,0.05098330994132269,0.0,0.0,0.0,0.0,0.09685983394490759,0.0,0.0,0.0,0.002621032517713107,0.0,0.008421123831104046,0.0,0.0,0.0,0.0,0.0,0.0,0.001623349172261021,0.0,0.0,0.09538867375754603,0.0,0.0,0.0,0.0,0.0,0.0,0.023403283900096387,0.0,0.0,0.0011667822175626089,0.0,0.0,0.007034513079797758,0.0,0.0,0.0,0.00028746808258788914,0.00023673842095473224,0.0,0.0,0.0,0.0029761401491452052,0.0,0.0,0.0,0.0,0.0194632801799212,0.0,0.0,0.0,0.0,0.0,0.0,0.006577946125099345,0.0011667822175626089,0.0,0.0,0.0,0.0,0.0051913353737930564,0.019361820856654888,0.0,0.11436156720834673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002637942404924159,0.0,0.0,0.00010145932326631382,0.0,0.0,0.0,0.0,0.0,0.0,0.0006594856012310398,5.072966163315691e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029761401491452052,0.0,0.00018600875932157533,0.00033819774422104605
126-1,0.007540275701710679,0.0017272878259425345,0.0014615512373359907,0.0016608536787908986,0.0,0.0,0.01567845872778608,0.0,0.01162597575153629,0.0,0.0,0.0,0.0064773293472845045,0.0012954658694569008,0.0005979073243647235,0.0,0.2844710181033051,0.0005979073243647235,0.0,0.0,0.0,0.0003986048829098156,0.04637103471184189,0.00016608536787908985,0.007008802524497592,0.0,0.0003986048829098156,0.0,0.0073409732602557716,0.0,0.0674638764324863,0.053379837236339475,0.0,0.0,0.0,0.0,0.1692742069423684,0.0,0.0,0.0,0.22909815645241655,0.0,0.0,0.0,0.0,0.0,0.00016608536787908985,0.0,0.0,0.006111941537950506,0.0,0.0,0.0,0.00043182195648563363,0.0,0.0,0.015313070918452085,0.02228865636937386,0.0,0.0003986048829098156,0.0009632951336987211,0.0,0.028932071084537454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010230858661351936,0.0,0.0,0.0,0.0008304268393954493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029895366218236175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102-1,0.04400555776101628,0.0,0.0005954743946010321,0.08493449781659389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05506153235410877,0.0,0.09241762604208019,0.0,0.0,0.004088924176260421,0.0,0.012008733624454149,0.0,0.6099642715363239,0.0,0.0012504962286621676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004724096863834855,0.007582373957919809,0.003374354902739182,0.0,0.0,0.0,0.0,0.022508932115919016,0.0,0.0009527590313616514,0.0009726081778483525,0.0,0.006867804684398571,0.0015085351329892816,0.023977768955934894,0.0,0.0,0.003294958316792378,0.0,0.0,0.0,0.0,0.0,0.0,0.00055577610162763,0.0,0.0,0.0,0.0,0.0008138150059547439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007761016276300119,0.0,0.0,0.003830885271933307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004366812227074236,0.0,0.0,0.0,0.0,0.0,0.0003572846367606193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006748709805478364,0.0,0.001389440254069075,7.939658594680428e-05,7.939658594680428e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119-1,0.2209478863707037,0.0,0.0,0.3762278439334906,0.0,0.0,0.00031096233697342184,0.0,0.0,0.0,0.0,0.0,0.033821727121403355,0.0011158060326693373,0.0,0.17112074484625656,0.0,0.0,0.0,0.0,0.00021950282609888602,0.007353344674312682,0.0,0.0,0.004115677989354113,0.0,0.007865517935210082,0.0,0.003603504728456712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063198522014304,0.0,0.0,0.0,0.0,0.0,0.034718030327973805,0.00043900565219777204,0.0,0.051052698970165906,0.0,0.0,0.0,0.0,0.02409043516435274,0.0,0.0,0.0017926064131409025,0.0,0.008999615870054326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011706817391940588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.145951087453584e-05,0.0,0.0,0.00014633521739925736,0.0,0.0,0.0,0.0,0.0,0.0,0.00016462711957416452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109-1,0.0514599903912881,0.0,0.00026690866385522876,0.015747611167458497,0.0,0.0,0.0,0.0,0.24891901991138632,0.000427053862168366,0.0,0.01457321304649549,0.3948379864410399,0.007953878182885817,0.03525863449527571,0.0,0.030667805476965782,0.0,0.0,0.0,0.0,0.009368494101318528,0.025089414402391503,0.0,0.0,0.0,0.0,0.0,0.0019751241125286925,0.0,0.0,0.0008274168579512091,0.0010943255218064378,0.011930817274328724,0.0,0.0,0.0,0.0014146159184327124,0.0,0.0,0.0,0.0,0.0022954145091549673,0.0,0.0,0.0,0.0,0.011023327817220947,0.0,0.0,0.0,0.0,0.0,0.0002935995302407516,0.0,0.0,0.0,0.0,0.044066620402498265,0.0,0.0,0.0016815245822879412,0.06704745636043347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009341803234933006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008807985907222549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01876367906902258,0.0,0.0,0.0009608711898788235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024021779746970587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176-1,0.3585506497977451,0.013454973176119574,0.0,0.03984852396936053,0.0,0.001663941245660843,0.0,0.0012049229709957827,0.0006311501276644576,0.0,0.0016352526034942767,0.0,0.0,0.035889491350374385,0.0009467251914966865,0.0,0.0,0.013713170955618671,0.0002581977794990963,0.0005450842011647588,0.005077889663482227,0.0,0.03402472960954758,0.0019508276673265055,0.011131193160627708,0.0,0.0,0.0,0.0002008204951659638,0.0,0.0,0.007028717330808733,0.0,0.0,0.023209111512752102,0.0,0.0,0.0,0.0,0.0,0.0,0.020254181369595777,0.0017500071721605417,0.0,0.0,0.0,0.0,0.0,0.2711363571162177,0.0,0.0,0.0030409960696560234,0.0,0.0,0.0005163955589981926,0.022176320394755717,0.03164357230972258,0.0,0.0,0.0,0.0,0.0,0.0,0.0010614797601629514,0.0,0.0,0.017127119373440056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003557391628654216,0.0,0.0,0.0,0.0,0.0,0.0,0.010729552170295779,0.00022950913733253006,0.0,0.0,0.01118857044496084,0.0021803368046590353,0.0,0.0031844392804888546,0.010987749949794876,0.0,0.019106635682933127,0.009409874630633731,0.003901655334653011,0.002266402731158734,0.0,0.0,0.0,0.0,0.0,0.0,0.00014344321083283127,0.0,0.001118857044496084,0.0,0.00037295234816536136,0.0,0.0,0.00037295234816536136,0.0,0.0,0.0008032819806638552,0.000774593338497289,0.0
147-1,0.004743280352833486,0.00024964633435965716,0.0,0.09517766497461928,0.0005617042523092286,0.0,0.0,0.0015602895897478572,0.0028917367063326952,0.00029125405675293337,0.0,0.0,0.0,0.23543729716235334,0.0,0.1096571523674794,0.048160938670217195,0.0,0.010776400099858533,0.0,0.3475285012898394,0.0,0.002330032454023467,0.0,0.0012482316717982857,0.0,0.0,0.06522010485146043,0.005138553715569609,0.0,0.007676624781559458,0.001060996921028543,0.0,0.029437463593242907,0.0,0.0003328617791462095,0.0,0.0,0.008987268036947658,0.0,0.0,0.0,0.0026836980943663142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035158525422318383,0.002121993842057086,0.00029125405675293337,0.0,0.0,0.0009777814762419906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003037363734709162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008155113589082134,0.0,0.0,0.0,0.0,0.0,0.0004784888075226762,0.0,0.00027045019555629527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
