cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	GNPSLibraryURL	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
4465	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	297.2438	2.4649
4466	"omnivores,herbivores,carnivores,Pellets,Meat"	"Lion,Chimp,Coati,Rhino,Wolf,Pellets,Leopard,Capuchin,Tiger,Bear,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	705.5981	12.0457
4467	"carnivores,Pellets,Meat"	"Wolf,Pellets,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	956.5814	8.6811
4468	"omnivores,Meat"	"Capuchin,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	716.3367	2.2792
4469	"omnivores,herbivores,carnivores,Pellets,Meat,QC"	"Zebra,Sheep,Chimp,Rhino,QC,Pellets,Lemur,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	764.5441	7.6708
4470	Meat	Meat	Food	NA	NA	NA	NA	NA	896.5641	7.6873
4471	"omnivores,Pellets,Meat"	"Pellets,Capuchin,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	829.5696	7.4449
4472	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	615.0285	5.2395
4473	"omnivores,Meat"	"Chimp,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	548.2972	3.3299
4474	"omnivores,herbivores,carnivores,Meat"	"Coati,Rhino,Wolf,Leopard,Tiger,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	676.5897	10.204
4475	"omnivores,carnivores,Pellets,Meat"	"Pellets,Capuchin,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	690.6049	11.2146
4476	Meat	Meat	Food	NA	NA	NA	NA	NA	914.6107	10.0235
4477	"omnivores,herbivores,carnivores,Plants,Pellets,Meat,QC"	"Zebra,Lion,Chimp,Coati,Rhino,QC,Elephant,Pellets,Leopard,Capuchin,Tiger,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	651.477	9.5265
4478	Meat	Meat	Food	NA	NA	NA	NA	NA	770.5708	10.2254
4479	"omnivores,herbivores,carnivores,Pellets,Meat"	"Zebra,Lion,Coati,Rhino,Wolf,Pellets,Leopard,Tiger,Goat,Bear,Mandrill,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	317.2122	2.2353
4480	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	311.1689	1.892
4481	"carnivores,Meat"	"CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	750.5453	9.2907
4482	"omnivores,herbivores,carnivores,Plants,Pellets,Meat,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,QC,Elephant,Pellets,Leopard,Capuchin,Tiger,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	679.5526	11.1211
4483	Meat	Meat	Food	NA	NA	NA	NA	NA	914.61	9.4508
4484	"omnivores,carnivores,Meat"	"Coati,Leopard,Tiger,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	699.5214	9.3743
4485	"omnivores,carnivores,Meat"	"Coati,Leopard,Tiger,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	734.6309	11.2143
4486	"carnivores,Meat"	"Wolf,Tiger,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	343.2279	2.5564
4487	Meat	Meat	Food	NA	NA	NA	NA	NA	800.5455	7.6703
4488	"omnivores,Meat"	"Chimp,Capuchin,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	788.5446	7.1705
4489	"omnivores,herbivores,carnivores,Meat,QC"	"Chimp,QC,Mandrill,CarnivorousCat,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	806.592	9.1431
4490	"omnivores,Wash,herbivores,carnivores,Pellets,Meat,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Pellets,Leopard,Tiger,Wash,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	379.247	2.945
4491	"omnivores,herbivores,carnivores,QC"	"Zebra,Sheep,Chimp,Rhino,Donkey,QC,Elephant,Hyena,Capuchin,Lemur,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	721.5027	7.2183
4492	"omnivores,herbivores,QC"	"Zebra,Sheep,Rhino,Donkey,QC,Elephant,Goat,Mandrill"	Feces	NA	NA	NA	NA	NA	681.5937	12.4512
4493	"omnivores,herbivores,QC"	"Zebra,Sheep,Chimp,Coati,Rhino,Donkey,QC,Elephant,Mandrill,Gorilla"	Feces	NA	NA	NA	NA	NA	647.5735	6.9589
4494	"omnivores,herbivores,carnivores,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	448.2739	5.0809
4495	QC	QC	Feces	NA	NA	NA	NA	NA	375.2539	4.5383
4496	"omnivores,herbivores,carnivores,Meat,QC"	"Lion,Sheep,Coati,Rhino,Wolf,QC,Elephant,Leopard,Tiger,Goat,Mandrill,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	643.5267	9.2888
4497	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Rhino,Wolf,QC,Elephant,Tiger,Lemur,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	714.4981	7.9622
4498	"omnivores,herbivores,QC"	"Zebra,Sheep,Chimp,Rhino,Donkey,QC,Elephant,Goat,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	726.4994	8.3721
4499	"omnivores,herbivores,carnivores,Pellets,QC"	"Zebra,Chimp,Rhino,QC,Elephant,Hyena,Pellets,Capuchin,Bear,Mandrill,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	594.396	4.2969
4500	"omnivores,herbivores,QC"	"Zebra,Sheep,Chimp,Rhino,QC,Elephant,Goat"	Feces	NA	NA	NA	NA	NA	771.6155	10.29
4501	"herbivores,QC"	"Sheep,QC,Goat"	Feces	NA	NA	NA	NA	NA	561.3594	5.5367
4502	"omnivores,Wash,herbivores,QC"	"Sheep,Coati,Donkey,QC,Wash"	"Feces,Wash"	NA	NA	NA	NA	NA	243.9535	17.6934
4503	"omnivores,herbivores,carnivores,Pellets"	"Chimp,Rhino,Wolf,Pellets,Capuchin,Lemur,Mandrill,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	355.2856	3.8812
4504	"omnivores,carnivores,Plants"	"Chimp,Coati,Leopard,Tiger,Lemur,Bear,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	617.4766	2.4533
4505	"omnivores,carnivores,Plants"	"Coati,Leopard,Tiger,Lemur,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	595.4954	2.4582
4506	omnivores	"Capuchin,Lemur,Gibbon"	Feces	NA	NA	NA	NA	NA	427.3066	4.1146
4507	omnivores	Lemur	Feces	NA	NA	NA	NA	NA	249.098	0.6402
4508	"omnivores,herbivores,carnivores"	"Zebra,Lion,Coati,Rhino,Elephant,Capuchin,Lemur,Bear,Mandrill"	Feces	NA	NA	NA	NA	NA	417.0372	0.6033
4509	omnivores	"Lemur,Bear"	Feces	NA	NA	NA	NA	NA	339.1296	0.6248
4510	"omnivores,herbivores,Pellets"	"Zebra,Coati,Rhino,Pellets,Capuchin,Lemur,Bear"	"Feces,Food"	NA	NA	NA	NA	NA	423.3486	5.5415
4511	omnivores	"Capuchin,Lemur"	Feces	NA	NA	NA	NA	NA	399.2754	3.3898
4512	omnivores	"Chimp,Capuchin,Lemur,Mandrill"	Feces	NA	NA	NA	NA	NA	437.2888	3.8625
4513	"omnivores,herbivores,carnivores,Plants,Pellets,Meat"	"Zebra,Chimp,Coati,Rhino,Wolf,Pellets,Leopard,Capuchin,Tiger,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	557.4578	8.0358
4514	"omnivores,Plants"	"Coati,Lemur,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	669.4875	7.3328
4515	"omnivores,Plants,Meat"	"Coati,Lemur,Plants,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	696.5045	7.3576
4516	"omnivores,herbivores,QC"	"Zebra,QC,Capuchin,Lemur"	Feces	NA	NA	NA	NA	NA	355.2856	4.1262
4517	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,QC"	"Zebra,Straw,Sheep,Chimp,Coati,Rhino,QC,Elephant,Fruit,Pellets,Capuchin,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	748.5159	7.0906
4518	"omnivores,carnivores"	"Chimp,Coati,Tiger,Lemur,Mandrill"	Feces	NA	NA	NA	NA	NA	697.5631	8.654
4519	"omnivores,carnivores"	"Chimp,Coati,Tiger,Lemur,Bear,Mandrill"	Feces	NA	NA	NA	NA	NA	695.5476	7.9012
4520	"omnivores,herbivores,Pellets,QC"	"Chimp,QC,Pellets,Capuchin,Lemur,Mandrill,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	649.5171	9.675
4521	"omnivores,Plants"	"Coati,Lemur,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	959.793	14.3004
4522	omnivores	"Coati,Lemur,Bear,Mandrill"	Feces	NA	NA	NA	NA	NA	369.1737	1.2972
4523	"omnivores,herbivores"	"Zebra,Coati,Elephant,Capuchin,Lemur"	Feces	NA	NA	NA	NA	NA	451.3797	6.357
4524	"omnivores,herbivores,carnivores,Plants,Pellets,Meat"	"Zebra,Chimp,Coati,Rhino,Wolf,Elephant,Pellets,Leopard,Tiger,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	561.4895	9.7594
4525	omnivores	"Capuchin,Lemur"	Feces	NA	NA	NA	NA	NA	499.3275	4.3803
4526	"omnivores,herbivores,Plants,Pellets"	"Pellets,Capuchin,Lemur,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	409.2574	3.0835
4527	"omnivores,herbivores,carnivores,Plants,Straw"	"Zebra,Straw,Sheep,Chimp,Coati,Rhino,Capuchin,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gorilla"	"Feces,Food"	esculetin	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00004696261	0.000396729	0.89442	2.24116	177.0186	0.6969
4528	omnivores	Lemur	Feces	NA	NA	NA	NA	NA	662.5378	6.8166
4529	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Coati,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Tiger,Lemur,Plants,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	515.305	1.0827
4530	omnivores	"Chimp,Coati,Lemur"	Feces	NA	NA	NA	NA	NA	620.5267	9.4913
4531	"omnivores,herbivores,Plants"	"Coati,Lemur,Goat,Bear,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	407.2573	2.1482
4532	"omnivores,Plants"	"Coati,Lemur,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	960.7497	14.0013
4533	"omnivores,Fruit,Plants,Meat"	"Coati,Fruit,Capuchin,Lemur,Bear,Plants,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	201.0374	0.6142
4534	"omnivores,herbivores,carnivores,Pellets,QC"	"Zebra,Chimp,Coati,Rhino,Wolf,QC,Elephant,Pellets,Leopard,Tiger,Lemur,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	563.5048	10.5233
4535	"omnivores,carnivores,Pellets,Straw"	"Straw,Coati,Pellets,Capuchin,Lemur,Bear,CarnivorousCat"	"Feces,Food"	NA	NA	NA	NA	NA	385.2713	3.2328
4536	"omnivores,carnivores"	"Capuchin,Tiger,Lemur"	Feces	NA	NA	NA	NA	NA	327.2543	3.3791
4537	"omnivores,herbivores,carnivores"	"Lion,Sheep,Chimp,Coati,Rhino,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	812.5199	5.7379
4538	"omnivores,carnivores"	"Coati,Capuchin,Tiger,Lemur,Bear,CarnivorousCat"	Feces	NA	NA	NA	NA	NA	377.2315	1.9517
4539	"omnivores,herbivores,carnivores,Fruit,Meat,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	187.1333	0.821
4540	"omnivores,herbivores,carnivores,Plants,Pellets,Straw,Meat,QC"	"Zebra,Straw,Chimp,Coati,Rhino,Wolf,QC,Elephant,Pellets,Leopard,Capuchin,Tiger,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	314.2423	1.4392
4541	"omnivores,Plants"	"Coati,Lemur,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	955.7615	13.5131
4542	"omnivores,carnivores,Plants"	"Coati,Wolf,Lemur,Mandrill,Plants,Gibbon"	"Feces,Food"	NA	NA	NA	NA	NA	669.532	7.9077
4543	"omnivores,carnivores,Pellets"	"Coati,Pellets,Capuchin,Lemur,Bear,CarnivorousCat"	"Feces,Food"	NA	NA	NA	NA	NA	322.2754	3.2332
4544	"omnivores,herbivores,QC"	"Zebra,Chimp,Rhino,QC,Elephant,Lemur,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	665.5112	6.8827
4545	"omnivores,herbivores"	"Chimp,Capuchin,Lemur,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	620.4825	8.8725
4546	omnivores	"Coati,Lemur,Bear"	Feces	NA	NA	NA	NA	NA	659.4881	6.6937
4547	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Meat"	"Straw,Chimp,Coati,Rhino,Elephant,Fruit,Pellets,Capuchin,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	738.5083	5.7832
4548	omnivores	"Capuchin,Lemur"	Feces	NA	NA	NA	NA	NA	440.2632	3.8949
4549	"omnivores,Pellets"	"Pellets,Capuchin,Lemur,Mandrill"	"Feces,Food"	NA	NA	NA	NA	NA	778.561	8.3994
4550	"omnivores,carnivores,Plants,Pellets"	"Coati,Pellets,Capuchin,Tiger,Lemur,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	723.4798	8.7187
4551	"omnivores,herbivores,carnivores"	"Lion,Chimp,Coati,Wolf,Elephant,Leopard,Tiger,Lemur,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	409.2735	2.6309
4552	"omnivores,Plants"	"Coati,Lemur,Plants"	"Feces,Food"	NA	NA	NA	NA	NA	595.4502	8.7174
4553	"omnivores,herbivores,carnivores,Pellets,Meat"	"Zebra,Chimp,Coati,Rhino,Elephant,Pellets,Leopard,Tiger,Lemur,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	535.4737	9.5935
4554	"omnivores,herbivores,carnivores"	"Zebra,Lion,Chimp,Rhino,Wolf,Elephant,Hyena,Tiger,Lemur,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	672.4979	8.5988
4555	"omnivores,herbivores,Plants"	"Chimp,Coati,Lemur,Bear,Mandrill,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	791.5308	6.1822
4556	"omnivores,Pellets"	"Coati,Pellets,Bear"	"Feces,Food"	NA	NA	NA	NA	NA	321.0436	0.5798
4557	"omnivores,herbivores,carnivores"	"Coati,Leopard,Capuchin,Tiger,Lemur,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	583.4738	8.3557
4558	"omnivores,carnivores,Pellets"	"Lion,Coati,Wolf,Pellets,Leopard,Capuchin,Tiger,Lemur,Bear,CarnivorousCat"	"Feces,Food"	NA	NA	NA	NA	NA	525.3435	1.4811
4559	"omnivores,herbivores,carnivores,QC"	"Zebra,Chimp,Coati,QC,Leopard,Tiger,Lemur,Bear,Mandrill,CarnivorousCat,Gorilla"	Feces	NA	NA	NA	NA	NA	577.4841	6.7263
4560	"omnivores,herbivores"	"Zebra,Coati,Mandrill,Gibbon"	Feces	NA	NA	NA	NA	NA	275.1658	0.9098
4561	"omnivores,herbivores,carnivores"	"Zebra,Chimp,Coati,Tiger,Bear,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	555.4422	7.3438
4562	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Leopard,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gorilla"	Feces	NA	NA	NA	NA	NA	241.1071	0.6571
4563	"omnivores,carnivores"	"Lion,Coati,Bear,CarnivorousCat"	Feces	NA	NA	NA	NA	NA	792.5765	8.2531
4564	"omnivores,herbivores,carnivores,Plants,Meat,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	477.468	11.5619
4565	"omnivores,carnivores,Pellets,Meat"	"Lion,Coati,Wolf,Pellets,Capuchin,Tiger,Bear,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	870.7043	12.0972
4566	"omnivores,herbivores,carnivores,Plants"	"Zebra,Chimp,Coati,Leopard,Capuchin,Tiger,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	411.1845	2.4511
4567	"omnivores,herbivores,carnivores"	"Zebra,Coati,Rhino,Tiger,Goat,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	315.1968	2.0064
4568	"omnivores,herbivores,carnivores,Meat,QC"	"Lion,Chimp,Coati,Wolf,QC,Capuchin,Lemur,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	655.4888	8.4018
4569	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Coati,Rhino,QC,Fruit,Pellets,Capuchin,Bear,Mandrill,Plants,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	834.6233	10.7182
4570	"omnivores,herbivores,carnivores,Plants,Pellets,Straw,Meat"	"Straw,Lion,Chimp,Coati,Wolf,Elephant,Pellets,Leopard,Capuchin,Tiger,Lemur,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	312.2264	1.4323
4571	"omnivores,carnivores,Meat"	"Lion,Coati,Hyena,Leopard,Capuchin,Lemur,Bear,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	623.464	8.3374
4572	"omnivores,herbivores"	"Zebra,Coati"	Feces	NA	NA	NA	NA	NA	413.1644	0.6773
4573	"omnivores,carnivores"	"Coati,Tiger,Lemur"	Feces	NA	NA	NA	NA	NA	575.4685	6.1471
4574	"omnivores,herbivores,carnivores,Plants,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	159.0654	0.6541
4575	"omnivores,herbivores,Plants,Pellets"	"Chimp,Coati,Pellets,Capuchin,Lemur,Bear,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	883.667	11.4219
4576	"omnivores,carnivores"	"Coati,Bear,CarnivorousCat"	Feces	NA	NA	NA	NA	NA	765.5444	9.8037
4577	"omnivores,carnivores,Pellets,Meat"	"Coati,Wolf,Pellets,Leopard,Capuchin,Tiger,Bear,CarnivorousCat,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	844.6431	11.083
4578	"omnivores,herbivores,carnivores"	"Chimp,Coati,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	652.5164	8.408
4579	"omnivores,herbivores,Plants,Straw,QC"	"Zebra,Straw,Sheep,Chimp,Coati,Rhino,QC,Elephant,Capuchin,Lemur,Goat,Bear,Mandrill,Plants,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	798.6837	12.5606
4580	"omnivores,herbivores,carnivores"	"Chimp,Coati,Wolf,Elephant,Leopard,Capuchin,Lemur,Bear,CarnivorousCat,Gibbon"	Feces	NA	NA	NA	NA	NA	133.0495	0.6662
4581	herbivores	"Zebra,Sheep,Rhino,Goat"	Feces	NA	NA	NA	NA	NA	411.2545	3.6362
4582	"omnivores,herbivores,carnivores"	"Sheep,Chimp,Coati,Elephant,Hyena,Goat,Mandrill,Gorilla"	Feces	NA	NA	NA	NA	NA	187.0063	0.5924
4583	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Leopard,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	444.9853	0.5967
4584	herbivores	"Zebra,Sheep,Rhino,Goat"	Feces	NA	NA	NA	NA	NA	411.2543	3.439
4585	herbivores	"Sheep,Gorilla"	Feces	NA	NA	NA	NA	NA	419.1506	1.7042
4586	"omnivores,herbivores,carnivores,Straw,Meat,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Wolf,QC,Elephant,Hyena,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	256.0594	0.5701
4587	"omnivores,herbivores,carnivores,Pellets,QC"	"Sheep,Chimp,Coati,Wolf,QC,Pellets,Leopard,Capuchin,Tiger,Goat,Mandrill,CarnivorousCat"	"Feces,Food"	NA	NA	NA	NA	NA	330.0963	0.5672
4588	"herbivores,carnivores"	"Zebra,Sheep,Rhino,Goat,CarnivorousCat"	Feces	NA	NA	NA	NA	NA	413.27	2.5315
4589	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,QC,Elephant,Fruit,Pellets,Leopard,Capuchin,Wash,Mandrill,Plants,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	421.2028	2.6958
4590	"omnivores,herbivores,QC"	"Zebra,Sheep,Chimp,Rhino,QC,Elephant,Goat,Gibbon"	Feces	NA	NA	NA	NA	NA	615.4644	7.5967
4591	herbivores	"Zebra,Sheep,Rhino"	Feces	NA	NA	NA	NA	NA	471.2753	3.6364
4592	herbivores	"Sheep,Goat"	Feces	NA	NA	NA	NA	NA	461.1608	0.5798
4593	herbivores	"Zebra,Sheep,Rhino,Goat"	Feces	NA	NA	NA	NA	NA	409.2388	3.0908
4594	herbivores	"Zebra,Sheep"	Feces	NA	NA	NA	NA	NA	437.2699	2.367
4595	"omnivores,herbivores,carnivores,QC"	"Zebra,Sheep,Chimp,Coati,Rhino,QC,Elephant,Hyena,Goat,Bear,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	307.2645	4.379
4596	"omnivores,herbivores"	"Zebra,Sheep,Chimp,Rhino,Goat,Gorilla"	Feces	NA	NA	NA	NA	NA	781.6872	14.5508
4597	herbivores	"Zebra,Sheep,Rhino,Goat"	Feces	NA	NA	NA	NA	NA	447.231	3.6367
4598	herbivores	"Sheep,Rhino,Goat"	Feces	NA	NA	NA	NA	NA	835.6744	12.8548
4599	herbivores	"Zebra,Sheep,Rhino,Goat"	Feces	NA	NA	NA	NA	NA	493.2574	3.6374
4600	"omnivores,herbivores"	"Zebra,Sheep,Rhino,Capuchin,Goat"	Feces	NA	NA	NA	NA	NA	439.2853	2.8006
4601	herbivores	"Sheep,Goat"	Feces	NA	NA	NA	NA	NA	271.1342	6.3533
4602	"herbivores,carnivores"	"Sheep,Wolf,Leopard,Goat"	Feces	NA	NA	NA	NA	NA	654.6066	11.4701
4603	"herbivores,QC"	"Sheep,QC,Goat"	Feces	NA	NA	NA	NA	NA	462.208	3.0506
4604	herbivores	"Zebra,Sheep"	Feces	NA	NA	NA	NA	NA	481.3328	3.3302
4605	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	701.4147	4.4571
4606	herbivores	"Sheep,Rhino,Gorilla"	Feces	NA	NA	NA	NA	NA	484.1619	1.2407
4607	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	598.5423	9.2213
