cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	GNPSLibraryURL	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
1762	"omnivores,herbivores,QC"	"Sheep,Rhino,QC,Elephant,Goat,Mandrill,Gibbon"	Feces	NA	NA	NA	NA	NA	604.4594	5.8584
1763	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	615.4951	7.8809
1764	"omnivores,herbivores,carnivores,QC"	"Zebra,Sheep,Wolf,QC,Tiger,Goat,Bear,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	469.3324	2.7965
1765	"omnivores,herbivores,QC"	"Sheep,Chimp,Coati,Rhino,QC,Capuchin,Lemur,Goat,Bear,Mandrill,Gibbon"	Feces	NA	NA	NA	NA	NA	797.579	9.5646
1766	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Zebra,Straw,Lion,Blank,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	233.1545	1.9165
1767	QC	QC	Feces	NA	NA	NA	NA	NA	547.1716	2.5749
1768	"omnivores,herbivores,QC"	"Zebra,Sheep,Chimp,Rhino,QC,Elephant,Goat,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	521.4579	9.5847
1769	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Tiger,Mandrill,Plants,CarnivorousCat,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	481.3173	1.8994
1770	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Blank,Meat,QC"	"Straw,Lion,Blank,Sheep,Chimp,Coati,Wolf,QC,Hyena,Fruit,Pellets,Leopard,Tiger,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	451.2416	1.8731
1771	"omnivores,herbivores,carnivores,Plants,Pellets,Meat,QC"	"Zebra,Sheep,Chimp,Coati,Rhino,Wolf,QC,Hyena,Pellets,Leopard,Tiger,Goat,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	654.516	7.6435
1772	QC	QC	Feces	NA	NA	NA	NA	NA	559.0275	3.9645
1773	"omnivores,herbivores,QC"	"Zebra,Sheep,Rhino,Donkey,QC,Elephant,Capuchin,Goat"	Feces	NA	NA	NA	NA	NA	501.4682	10.4014
1774	"omnivores,herbivores,carnivores,Straw,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Wolf,QC,Elephant,Hyena,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	479.3206	4.1756
1775	"omnivores,herbivores,carnivores,QC"	"Zebra,Sheep,Chimp,Rhino,QC,Elephant,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	659.5482	9.123
1776	"omnivores,herbivores,carnivores,Fruit,Plants,Pellets,Straw,Meat,QC"	"Zebra,Straw,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Fruit,Pellets,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	588.4771	7.6882
