cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
525	"omnivores,herbivores,QC,Plants,carnivores"	"Goat,Sheep,Gibbon,Coati,Lemur,Bear,Elephant,Chimp,Mandrill,Plants,Gorilla,CarnivorousCat,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	585.429	4.5302
526	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	777.6161	15.2131
527	"omnivores,herbivores,Plants"	"Sheep,Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	795.6266	10.9472
528	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	749.5848	14.9691
529	"omnivores,Plants"	"Coati,Bear,Plants"	"Feces,Food"	NA	NA	NA	NA	521.2715	0.8967
530	"Straw,Pellets,omnivores,Plants,Fruit"	"Pellets,Coati,Bear,Fruit,Chimp,Plants,Straw"	"Feces,Food"	NA	NA	NA	NA	694.3991	2.0052
531	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	392.3149	1.8674
532	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	767.5955	10.0345
533	"omnivores,herbivores,Plants"	"Rhino,Sheep,Gibbon,Coati,Lemur,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	1005.8247	15.2225
534	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	805.6476	15.4354
535	"Straw,Pellets,Meat,omnivores,herbivores,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Zebra"	"Feces,Food"	NA	NA	NA	NA	672.555	7.5159
536	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	777.6161	15.4277
537	"omnivores,herbivores,Plants"	"Coati,Bear,Plants,Zebra"	"Feces,Food"	NA	NA	NA	NA	463.2681	0.8923
538	"Pellets,Meat,omnivores,herbivores,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Gorilla,Meat,CarnivorousCat,QC,Zebra"	"Feces,Food"	Ubidecarenone	0.00262451	0.882942	2.97997	880.7154	14.4785
539	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	823.6584	11.8245
540	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	567.4188	10.9479
541	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	977.7927	14.9725
542	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	825.6485	10.0368
543	"Wash,Straw,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	1007.0215	0.616
544	"Straw,Pellets,omnivores,Plants,Fruit,carnivores"	"Pellets,Coati,Tiger,Bear,Fruit,Chimp,Plants,Straw"	"Feces,Food"	NA	NA	NA	NA	537.3028	2.4659
545	"Straw,Pellets,omnivores,Plants,Fruit,carnivores"	"Pellets,Coati,Tiger,Bear,Fruit,Chimp,Plants,Straw"	"Feces,Food"	"NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic_acid,_3-(hexopyranosyloxy)-2-hydroxypropyl_ester,_(9Z,12Z,15Z)-"	0.000732422	0.796436	1.37583	532.3473	2.4618
546	"Straw,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Leopard,Sheep,Capuchin,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Chimp,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	244.0787	0.5858
547	"omnivores,Plants"	"Bear,Plants"	"Feces,Food"	NA	NA	NA	NA	667.3286	0.9867
548	"omnivores,herbivores,Plants"	"Rhino,Sheep,Gibbon,Coati,Bear,Elephant,Chimp,Mandrill,Plants,Gorilla,Zebra"	"Feces,Food"	NA	NA	NA	NA	727.669	14.8721
549	"omnivores,herbivores,QC,Plants,carnivores"	"Donkey,Rhino,Goat,Sheep,Gibbon,Coati,Lemur,Bear,Elephant,Chimp,Mandrill,Plants,Gorilla,CarnivorousCat,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	658.6119	14.4544
550	"Meat,omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla,Meat"	"Feces,Food"	NA	NA	NA	NA	749.5847	14.7008
551	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	437.2348	0.5937
552	"omnivores,Plants"	"Bear,Plants"	"Feces,Food"	NA	NA	NA	NA	662.3736	0.9746
553	"omnivores,herbivores,QC,Plants,Fruit,carnivores"	"Rhino,Goat,Sheep,Gibbon,Coati,Bear,Fruit,Chimp,Mandrill,Plants,Gorilla,CarnivorousCat,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	585.4288	4.9215
554	"omnivores,Plants"	"Coati,Bear,Plants"	"Feces,Food"	NA	NA	NA	NA	481.2799	0.8877
555	"omnivores,Plants"	"Capuchin,Coati,Bear,Plants"	"Feces,Food"	NA	NA	NA	NA	516.3163	0.907
556	"omnivores,herbivores,Plants"	"Coati,Bear,Plants,Zebra"	"Feces,Food"	NA	NA	NA	NA	537.2669	0.6708
557	"omnivores,herbivores,Plants"	"Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	795.6265	11.6992
558	"omnivores,herbivores,Plants"	"Coati,Bear,Plants,Zebra"	"Feces,Food"	NA	NA	NA	NA	537.2668	0.6798
559	"omnivores,herbivores,QC,Plants,carnivores"	"Donkey,Rhino,Goat,Sheep,Gibbon,Coati,Lemur,Bear,Elephant,Chimp,Mandrill,Plants,Gorilla,CarnivorousCat,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	699.6382	14.4535
560	"Straw,Pellets,omnivores,herbivores,Plants,Fruit,carnivores"	"Rhino,Gibbon,Pellets,Coati,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Straw,Gorilla,CarnivorousCat"	"Feces,Food"	NA	NA	NA	NA	836.5524	6.5323
561	"omnivores,herbivores,Plants"	"Gibbon,Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	881.7107	11.8237
562	"Straw,Pellets,Meat,omnivores,herbivores,Plants,Fruit,carnivores"	"Leopard,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Straw,Gorilla,Meat,CarnivorousCat,Zebra"	"Feces,Food"	NA	NA	NA	NA	670.5392	6.8838
563	"Straw,Pellets,Meat,omnivores,herbivores,Blank,Plants,Fruit,carnivores"	"Donkey,Rhino,Pellets,Wolf,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,Zebra"	"Feces,Food"	NA	NA	NA	NA	673.38	4.5361
564	"Straw,Meat,omnivores,herbivores,Blank,QC,Plants,carnivores"	"Rhino,Capuchin,Wolf,Coati,Tiger,Chimp,Plants,Straw,Meat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	160.0344	0.5975
565	"Straw,Pellets,omnivores,herbivores,Plants,Fruit"	"Rhino,Sheep,Gibbon,Capuchin,Pellets,Coati,Lemur,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Straw,Gorilla,Zebra"	"Feces,Food"	NA	NA	NA	NA	830.6703	10.3638
566	"Straw,Pellets,omnivores,herbivores,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Sheep,Capuchin,Pellets,Coati,Tiger,Bear,Fruit,Elephant,Chimp,Plants,Straw,Gorilla,Zebra"	"Feces,Food"	NA	NA	NA	NA	812.5534	6.9586
567	"omnivores,herbivores,Plants"	"Coati,Bear,Chimp,Mandrill,Plants,Gorilla"	"Feces,Food"	NA	NA	NA	NA	567.4188	10.0341
568	"Straw,Pellets,omnivores,herbivores,QC,Plants,Fruit,carnivores"	"Rhino,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Straw,Gorilla,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	554.5135	7.385
569	"omnivores,herbivores,QC,Plants,Fruit,carnivores"	"Rhino,Goat,Sheep,Gibbon,Capuchin,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Gorilla,CarnivorousCat,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	585.4289	5.183
570	"Straw,Pellets,Meat,omnivores,herbivores,Plants,Fruit,carnivores"	"Gibbon,Capuchin,Pellets,Coati,Lemur,Tiger,Bear,Fruit,Chimp,Plants,Straw,Gorilla,Meat,Zebra"	"Feces,Food"	NA	NA	NA	NA	481.184	3.4734
