,ASV_10,ASV_9,ASV_6,ASV_4,ASV_31,ASV_161,ASV_89,ASV_23,ASV_30,ASV_45,ASV_46,ASV_155,ASV_102,ASV_159,ASV_94,ASV_194,ASV_218,ASV_28,ASV_166,ASV_44,ASV_122,ASV_57,ASV_24,ASV_82,ASV_135,ASV_146,ASV_76,ASV_195,ASV_120,ASV_183,ASV_149,ASV_34,ASV_1,ASV_103,ASV_134,ASV_33,ASV_144,ASV_114,ASV_220,ASV_177,ASV_145,ASV_154,ASV_41,ASV_112,ASV_178,ASV_29,ASV_26,ASV_137,ASV_119,ASV_157,ASV_128,ASV_47,ASV_113,ASV_72,ASV_140,ASV_43,ASV_208,ASV_188,ASV_101,ASV_180,ASV_27,ASV_141,ASV_217,ASV_216,ASV_171,ASV_99,ASV_97,ASV_192,ASV_143,ASV_432,ASV_176,ASV_59,ASV_55,ASV_123,ASV_51,ASV_49,ASV_162,ASV_129,ASV_160,ASV_125,ASV_181,ASV_52,ASV_54,ASV_12,ASV_19,ASV_50,ASV_163,ASV_184,ASV_42,ASV_139,ASV_131,ASV_69,ASV_179,ASV_222,ASV_124,ASV_11,ASV_20
160-1,0.05991829323649569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5937358147980027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017703132092601,0.0,0.0,0.0,0.0,0.009532455742169769,0.0,0.0,0.004539264639128461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07898320472083523,0.0022696323195642307,0.0,0.0,0.005901044030866999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01270994098955969,0.0,0.0,0.0,0.0,0.08216068996822515,0.0,0.0,0.0,0.06445755787562416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027235587834770767,0.05492510213345438,0.0,0.0,0.0,0.008170676350431231,0.0,0.0,0.0,0.0,0.0022696323195642307,0.0,0.0,0.0,0.0,0.0,0.0
149-1,0.0,0.0006128636862137927,0.0020966389265208696,0.0,0.0,0.0005483517192439197,0.0008386555706083479,0.0,0.0,0.3973614605509322,0.3354944842268241,0.08741371524417779,0.0003870718018192375,0.03164311979872266,0.0,0.0,0.013612025030643184,0.0,0.0509644539061996,0.022159860654151344,0.0,0.0005483517192439197,0.0,0.0,0.0,0.0009354235210631573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002903038513644281,0.0,0.0010967034384878394,0.0007418876201535384,0.0,0.0,0.0,0.0,0.0,0.0011289594219727759,0.0,0.0,0.0,0.0,0.00022579188439455518,0.029804528740081285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073221082510805755,0.0,0.0,0.0034191342494032644,0.0023546867944003614,0.0,0.0,0.0,0.0,0.0,0.0009999354880330302,0.0,0.0,0.004773885555770596,0.0,0.0,0.0,0.0022579188439455517,0.0,0.0009676795045480937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150-1,0.0,0.0,0.006880240808428295,0.0,0.0,0.03791299362144342,0.0,0.0,0.0,0.0017200602021070737,0.0,0.10936716118397477,0.0,0.0,0.0,0.0019350677273704579,0.22654626245251916,0.0,0.21142406650899448,0.0,0.0,0.0,0.0,0.0,0.0,0.0007883609259657421,0.0,0.0,0.0007883609259657421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021500752526338422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947753171360998,0.04543825700566186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016268902744929405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02400917365441124,0.0,0.0,0.0,0.0,0.004658496380706658,0.0,0.008241955135096395,0.0,0.0,0.0,0.0,0.004156812155092095,0.0,0.0,0.0017917293771948686,0.0011467068014047158,0.0
176-1,0.024699810406572573,0.0,0.0,0.003054560775226459,0.0,0.002211923319991574,0.0011586265009479672,0.0,0.0030018959342742787,0.0,0.0,0.06588371603117758,0.0017379397514219507,0.0,0.0,0.025173793975142196,0.0004739835685696229,0.001000631978091426,0.009321676848535918,0.0,0.003581209184748262,0.0,0.0,0.0,0.00036865388666526224,0.0,0.0,0.0,0.0,0.042605856330313885,0.0,0.0,0.0,0.0,0.0,0.0,0.03718137771223931,0.003212555298083,0.0,0.0,0.0,0.0,0.49773541183905623,0.0,0.0,0.005582473140931114,0.0,0.0,0.0009479671371392458,0.040709922056035394,0.0580893195702549,0.0,0.0,0.0,0.0,0.0,0.001948599115230672,0.0,0.0,0.0,0.031440910048451655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00653044027807036,0.0,0.0,0.0,0.0,0.0,0.0,0.01969665051611544,0.0004213187276174426,0.0,0.0,0.020539287971350326,0.004002527912365704,0.020170634084685064,0.0,0.0350747840741521,0.017274067832315148,0.007162418369496524,0.004160522435222245,0.0,0.0,0.0,0.0002633242047609016,0.0,0.0,0.0006846429323783442,0.0,0.001474615546661049,0.0014219507057088687
158-1,0.7493159186436853,0.0,0.0,0.0,0.0,0.0002256763237326864,0.0,0.0,0.002651696803859065,0.0023272870884933285,0.020028773731275918,0.0029055826680583373,0.0,0.0,0.0,0.010254167959603938,0.0,0.0,0.14358656097492173,0.000846286213997574,0.0003949335665322012,0.0003808287962989083,0.0,0.0,0.0,0.0,0.0,5.64190809331716e-05,0.0,0.05412000338514485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016220485768286834,0.0,0.0,0.0,0.0,0.0,0.0,0.0009309148353973314,0.0003103049451324438,0.0,0.0,0.0,0.002651696803859065,0.0,0.0,0.0,0.0004936669581652515,0.0,0.0003526192558323225,0.0019323535219611273,0.0,0.0,0.0,0.0,0.0,0.0,0.0012835340912296538,0.0,0.0,0.0,9.87333916330503e-05,0.0,0.0,0.0,0.0017348867386950267,0.0,0.0,0.0004090383367654941,0.0,0.0,0.0,0.0,0.0,0.0,0.0010860673079635533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151-1,0.0,0.014955611519900953,0.8848009904751185,0.0,0.0,0.0,0.0,9.848474189962997e-05,0.0,0.0,0.0,0.0018149331007217525,0.004066012915570438,0.007372286393629444,0.0019274870914641868,0.026492395571000464,0.0005909084513977798,0.0,0.013576825133306132,0.009665573955006543,0.0,0.0,0.0,0.0,0.0,0.0006753239444546056,0.0,0.0,0.0,0.001941556340306991,0.0,0.0,0.0,0.02165257396907579,0.0,0.0,0.0,0.0001688309861136514,0.0,0.0,0.0,0.0008863626770966698,0.0003095234745416942,0.0,0.0,0.0,0.0,0.0010270551655247127,0.0,0.0003517312210701071,0.00014069248842804282,0.0,0.0,0.0,0.0006331161979261928,0.0,0.0,0.0,0.0033484812245874193,0.0,0.0,0.0,0.00028138497685608563,0.0,0.00045021596296973706,0.0,0.0003235927233844985,0.0003235927233844985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012662323958523855,0.001997833335678208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169-1,0.0008736167734420501,0.0,0.0,0.002850749471231953,0.0,0.0005211047420531526,0.0,0.0,0.003632406584311682,0.3600680501486681,0.025580112190785643,0.2775036017533642,0.0,0.0,0.0,0.0,0.0007050240627777948,0.0006283910124758606,0.0,0.009517824847500229,0.00041381847163044476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021457254084541582,7.663305030193422e-05,0.0,0.0,0.0,0.0019924593078502898,0.0,0.0,0.0,0.0,0.2289182478619379,0.0,0.0,0.0,0.0013180884651932685,0.0,0.0,3.0653220120773686e-05,0.005900744873248934,0.007310792998804524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00660576893602673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007647978420133035,0.0,0.0,0.0,0.0,0.0,0.013426110412898875,0.024262023725592375,0.0042761242068479295,0.0,0.014345707016522085,0.00042914508169083164,0.0,0.0,0.0,0.0003831652515096711,0.00021457254084541582,0.0,0.0,0.0,0.0,0.0003525120313888974
148-1,0.06563044741429401,0.0032829750145264383,0.0,0.0,0.0,0.8495642068564788,0.0,0.040906449738524114,0.003224869262056944,0.0,0.0,0.0,0.0014235909355026148,0.0,0.0,0.0,0.00023242300987797793,0.0004938988959907031,0.0,0.0,0.0,0.0,0.006711214410226612,0.0006101104009296921,0.0004357931435212086,0.0,0.0,0.0,0.0,0.0,0.0,0.0009006391632771644,0.0001452643811737362,0.00046484601975595586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018012783265543288,0.0,0.0,0.0,0.019203951191167926,0.0005229517722254503,0.00040674026728646135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021208599651365485,0.0,0.0012202208018593842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031958163858221964,0.0,0.0,0.0,0.0,0.0003776873910517141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123-1,0.0009578926362003592,0.0,0.0,0.0004789463181001796,0.0013570145679505088,0.0016363999201756136,0.0,0.0,0.015406106565555777,0.0637397725004989,0.5398523248852525,0.0007583316703252843,0.0,0.0,0.0,0.0,0.0,0.0,0.10892037517461585,0.06473757732987427,0.0,0.0,0.0,0.0,0.0014767511474755538,0.0,0.0,0.0,0.0,0.0,0.0,0.005188585112751946,0.0,0.0,0.0,0.0,0.014049091997605269,0.0,0.0,0.0,0.07248054280582718,0.0,0.013849531031730193,0.0027539413290760327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07850728397525444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003671921772101377,0.0,0.0,0.0008381560566753143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019956096587507485,0.0,0.006705248453402515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002434643783675913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147-1,0.0002810436085999344,0.0,0.0006323481193498524,0.0,0.0,0.0017565225537495902,0.003255421799615907,0.0003278842100332568,0.0,0.0,0.0,0.2650475432104548,0.0,0.1234484050775212,0.054217996159070685,0.0,0.012131715771230503,0.0,0.3912361234718254,0.0,0.0,0.0,0.0,0.07342264274673287,0.005784814277015317,0.0,0.008642090964447983,0.0,0.0331397255140756,0.0,0.0003747248114665792,0.0,0.0,0.010117569909597638,0.0,0.0,0.0,0.003021218792449295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039580308211157435,0.0023888706730994425,0.0003278842100332568,0.0,0.0,0.0011007541336830766,0.0,0.0,0.0,0.0011241744343997377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034193639046325355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005386669164832076,0.00030446390931659564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
