,ASV_195,ASV_222,ASV_143,ASV_94,ASV_125,ASV_45,ASV_44,ASV_141,ASV_181,ASV_112,ASV_59,ASV_134,ASV_155,ASV_20,ASV_178,ASV_99,ASV_144,ASV_135,ASV_128,ASV_89,ASV_180,ASV_137,ASV_171,ASV_1,ASV_19,ASV_82,ASV_113,ASV_43,ASV_119,ASV_163,ASV_177,ASV_120,ASV_72,ASV_161,ASV_157,ASV_101,ASV_192,ASV_114,ASV_218,ASV_102,ASV_27,ASV_76
142-1,0.0,0.0,0.0,0.0,0.0,0.3549915449185722,0.0,0.0,0.0,0.0003808595237732515,0.0,0.0055757834280404026,0.009353909903871057,0.0,0.00033515638092046127,0.0,0.0,0.042900016757819036,0.0004265626666260417,0.013802349141542634,0.0,0.0,0.0005636720951844122,0.0,0.0,0.0,0.00024375009521488092,0.0,0.0011121098094178943,0.0,0.0,0.0,0.0,0.0,0.005545314666138542,0.0008988284761048735,0.0003503907618713913,0.0005179689523316219,0.0034582044758611234,0.0,0.0,0.0008226565713502233
124-1,0.0,0.0,0.010625043261576796,0.0,0.0,0.08143559216446321,0.0,0.0,0.0,0.0,0.0,0.0,0.10434692323665813,0.00038070187582197,0.0,0.0,0.047899217830691496,0.0,0.0060912300131515185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020765556863016542,0.0,0.0,0.0,0.00038070187582197,0.0,0.0,0.0,0.0,0.19824184951893128,0.0,0.0,0.0
136-1,0.0,0.0,0.0,0.0,0.0,0.13124542025130947,0.21057345238418326,0.0,0.0,0.0,0.0,0.0,0.004695090509403751,0.0,0.0,0.0,0.0014383803294705133,0.0,0.008684560479821966,0.0,0.004966483024398186,0.0,0.0,0.0,0.002686785898444921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003528102694927674,0.04372133416560371,0.0,0.0,0.0,0.030070290661383562,0.0,0.0,0.0
114-1,0.0,0.0,0.0008853139070167451,0.0,0.0,0.0,0.0,0.004287448778266808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009902868417058732,0.0,0.0,0.0,0.0,0.0005944250518541003,0.0,0.009801689684828249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013026761774674964,0.0004300096119795619,0.00041736227045075126,0.0,0.0,0.0,0.0,0.0,0.0
103-1,0.006673407482305359,0.0,0.0,0.0,0.0,0.22880254225046945,0.0058067311859020644,0.0057200635562617355,0.0,0.0009244547161635127,0.0,0.0,0.003668929654773942,0.0,0.03980933121479128,0.0,0.0,0.0,0.0,0.0,0.0010111223458038423,0.0,0.0,0.0,0.0,0.0,0.0,0.003986710963455149,0.0,0.0,0.0,0.0004333381482016466,0.0,0.0,0.0,0.0,0.001935577061967355,0.0005488949877220858,0.5598439982666474,0.0,0.0,0.0
115-1,0.0,0.0,0.0,0.0006249112341996876,0.0,0.010026984803294987,0.08001704303365999,0.0,0.0,0.001817923590399091,0.0,0.0,0.2825734980826587,0.0,0.0,0.0,0.0053117454906973435,0.0,0.00269848032949865,0.0,0.00372106234909814,0.0,0.0,0.0,0.00034086067319982955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010026984803294987,0.0,0.0,0.0,0.001817923590399091,0.0,0.0,0.0
132-1,0.0,0.0024433978994659994,0.0,0.0,0.0,0.0,0.01314311612051469,0.0,0.0,0.0,0.0,0.0,0.016985556365642668,0.0,0.0,0.0,0.0,0.0,0.00023645786123864513,0.0,0.0,0.0,0.0,0.0,0.00047291572247729025,0.0,0.0,0.0065814104711422895,0.0,0.0,0.0,0.0,0.0,0.0,0.0357248418688053,0.0,0.0,0.0,0.3512187432264675,0.0,0.0,0.0
150-1,0.0,0.0,0.0,0.0,0.024009173654411242,0.0017200602021070735,0.0,0.0,0.0,0.0,0.0,0.0,0.10936716118397476,0.0,0.0,0.0,0.0021500752526338427,0.0,0.04543825700566186,0.0,0.016268902744929405,0.0,0.0,0.0,0.004658496380706658,0.0,0.0,0.0,0.0,0.008241955135096395,0.0,0.0007883609259657421,0.0,0.03791299362144342,0.2947753171360998,0.0,0.0,0.0,0.2265462624525192,0.0,0.0,0.0
160-1,0.0,0.0,0.0,0.0,0.0,0.5937358147980027,0.0,0.0,0.002723558783477077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07898320472083523,0.0,0.01270994098955969,0.0,0.06445755787562417,0.0,0.0,0.0,0.0,0.0,0.0,0.08216068996822515,0.0,0.0,0.0,0.0045392646391284605,0.0,0.0,0.0,0.0,0.0,0.0022696323195642307,0.0,0.0,0.0,0.0
148-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003776873910517141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043579314352120866,0.0,0.0,0.0,0.0005229517722254503,0.0,0.0001452643811737362,0.0,0.0006101104009296921,0.0,0.0,0.00040674026728646135,0.0,0.0,0.0,0.0,0.8495642068564788,0.0,0.0021208599651365485,0.0,0.0,0.000232423009877978,0.0014235909355026148,0.0012202208018593842,0.0
168-1,0.0,0.0,0.0,0.0042716433385173655,0.0,0.0,0.002073613271124935,0.0,0.017729393468118197,0.005619491964748574,0.004354587869362364,0.007091757387247278,0.0,0.0,0.0013063763608087092,0.018434421980300673,0.0,0.022498703991705542,0.0007672369103162262,0.008750648004147226,0.0,0.0033592534992223947,0.0,0.0,0.0,0.008875064800414724,0.0004147226542249871,0.0,0.0062208398133748065,0.0,0.0,0.06907205806117159,0.020279937791601862,0.0005391394504924832,0.0,0.002903058579574909,0.0,0.0012856402280974598,0.0,0.2765163297045101,0.002218766200103681,0.006365992742353551
162-1,0.0,0.0,0.0,0.003445417335889332,0.0,0.016734884202891043,0.052639759597948296,0.03416921403036112,0.01494741205118906,0.0,0.0,0.00038858090254390964,0.07447800632091603,0.0,0.10787005854618932,0.0,0.018677788715610592,0.0,0.0025387285632868764,0.0,0.0,0.0008548779855966013,0.0001813377545204912,0.0,0.0,0.0,0.001580229003678566,0.0,0.044272317496502775,0.0006476348375731827,0.08699031138282991,0.0,0.0,0.003808092844930313,0.0,0.0,0.0,0.00044039168954976434,0.0,0.0,0.0,0.0
